name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
manama,2022-01-01,20,18.2,19.4,20,18.2,19.4,16.4,82.8,15.9,100,79.17,rain,,,,27.5,55,1017.6,58.9,10.2,127.7,11.2,6,,2022-01-01T06:25:24,2022-01-01T16:57:07,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-02,24,18,20.6,24,18,20.6,18,85.5,3.1,100,54.17,rain,,,,34.7,106.2,1010.2,62.8,9.9,103.9,9,4,,2022-01-02T06:25:40,2022-01-02T16:57:48,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-03,20,16.9,18.2,20,16.9,18.2,13.9,76.5,0,0,0,,,,,24.2,298.7,1013.1,50.4,7.4,175.2,15.2,7,,2022-01-03T06:25:55,2022-01-03T16:58:29,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-04,18.8,15.8,16.9,18.8,15.8,16.9,9.4,61.6,0,0,0,,,,,35,304.2,1018.1,11.9,10.3,183.5,15.9,7,,2022-01-04T06:26:08,2022-01-04T16:59:11,0.05,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-05,17,13.6,15.3,17,13.6,15.3,4.7,49.4,0,0,0,,,,,33.3,301.1,1019.3,9.5,11.5,190.6,16.5,7,,2022-01-05T06:26:20,2022-01-05T16:59:53,0.09,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-06,18,14.8,16.1,18,14.8,16.1,10.3,68.5,0,0,0,,,,,38.3,300.4,1019.5,14.2,10.8,183.1,15.8,7,,2022-01-06T06:26:31,2022-01-06T17:00:36,0.12,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-07,19,13.9,16.6,19,13.9,16.6,11.6,72.4,0,0,0,,,,,20.4,300.8,1020,6.5,9.3,182.2,15.7,7,,2022-01-07T06:26:40,2022-01-07T17:01:20,0.15,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-08,19,15.7,17.2,19,15.7,17.2,11.5,69.7,0,0,0,,,,,22.1,304.7,1019.8,3.1,8.3,184.4,15.8,7,,2022-01-08T06:26:47,2022-01-08T17:02:04,0.18,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-09,20,14.8,17.2,20,14.8,17.2,9.7,62.7,0,0,0,,,,,18.1,289.9,1019.3,10,9.8,194.4,16.8,7,,2022-01-09T06:26:53,2022-01-09T17:02:49,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-10,21,13.8,17.5,21,13.8,17.5,10.6,65.7,0,0,0,,,,9.4,11.2,147.9,1018.4,5.9,6.5,216.3,18.6,7,10,2022-01-10T06:26:58,2022-01-10T17:03:34,0.25,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-11,22,16.8,18.9,22,16.8,18.9,11.7,65.7,0,0,0,,,,17.3,14.7,135.7,1019.5,47.4,9.6,148.8,13.1,5,10,2022-01-11T06:27:01,2022-01-11T17:04:19,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-12,23.7,15.1,19.5,23.7,15.1,19.5,14.2,72.5,0,0,0,,,,13.3,13,120.1,1018.5,0.4,7.7,174.9,15,6,10,2022-01-12T06:27:02,2022-01-12T17:05:05,0.32,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-13,25.7,15.8,20.1,25.7,15.8,20.1,12.9,65.2,0,0,0,,,,27.4,18.2,135.4,1016.7,1.5,9.1,178.9,15.5,6,10,2022-01-13T06:27:02,2022-01-13T17:05:51,0.35,Clear,Clear conditions throughout the day.,clear-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-14,23.9,18.9,20.9,23.9,18.9,20.9,15.3,71.2,0,0,0,,,,45.4,27.5,125.2,1013.5,38.8,9.7,136.3,11.8,5,10,2022-01-14T06:27:00,2022-01-14T17:06:37,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-15,21,17.9,19.8,21,17.9,19.8,15.2,75.5,2.5,100,37.5,rain,0,,55.4,27.5,140.3,1010.7,56.6,9.4,137.4,11.8,5,10,2022-01-15T06:26:57,2022-01-15T17:07:23,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"OEDR,41150099999,40416099999,OBBI"
manama,2022-01-16,21.1,18,19.6,21.1,18,19.6,16,80,0.2,100,8.33,rain,0,,23.8,25.5,348.3,1011,56.3,8.9,164.8,14.3,6,10,2022-01-16T06:26:53,2022-01-16T17:08:10,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"OEDR,41150099999,40416099999,OBBI"
