date,value
2022-01-01,527.55
2022-01-02,762.18
2022-01-03,1343.82
2022-01-04,1469.36
2022-01-05,1588.27
2022-01-06,1482.73
2022-01-07,1378.27
2022-01-08,1251.92
2022-01-09,1409.75
2022-01-10,1327.42
2022-01-11,1344.36
2022-01-12,1311.09
2022-01-13,1359.25
2022-01-14,1012.00
2022-01-15,300.09
2022-01-16,759.00
2022-01-17,1130.92
2022-01-18,256.91
2022-01-19,807.00
2022-01-20,928.50
2022-01-21,1272.17
2022-01-22,1476.75
2022-01-23,1446.25
2022-01-24,1350.75
2022-01-25,1276.75
2022-01-26,1275.75
2022-01-27,1344.08
2022-01-28,874.25
2022-01-29,814.83
2022-01-30,1172.00
2022-01-31,1059.08
2022-02-01,964.42
2022-02-02,1263.25
2022-02-03,1255.25
2022-02-04,986.17
2022-02-05,1006.08
2022-02-06,830.73
2022-02-07,1365.58
2022-02-08,1344.42
2022-02-09,1357.42
2022-02-10,1263.50
2022-02-11,1283.00
2022-02-12,693.50
2022-02-13,1332.42
2022-02-14,1310.08
2022-02-15,1288.08
2022-02-16,1331.17
2022-02-17,1321.50
2022-02-18,1289.17
2022-02-19,1275.25
2022-02-20,1009.83
2022-02-21,1199.17
2022-02-22,1337.08
2022-02-23,1302.25
2022-02-24,1222.83
2022-02-25,1265.92
2022-02-26,1082.17
2022-02-27,1194.08
2022-02-28,1346.17
2022-03-01,1319.92
2022-03-02,1181.17
2022-03-03,1228.67
2022-03-04,883.75
2022-03-05,582.92
2022-03-06,955.08
2022-03-07,598.44
2022-03-08,739.92
2022-03-09,1020.08
2022-03-10,1136.67
2022-03-11,975.92
2022-03-12,1080.83
2022-03-13,1003.62
2022-03-14,1047.46
2022-03-15,963.54
2022-03-16,1011.77
2022-03-17,1259.17
2022-03-18,1297.77
2022-03-19,1239.69
2022-03-20,1142.77
2022-03-21,990.62
2022-03-22,1093.23
2022-03-23,1112.69
2022-03-24,1131.77
2022-03-25,1135.46
2022-03-26,1186.31
2022-03-27,1189.92
2022-03-28,1239.08
2022-03-29,1234.69
2022-03-30,1261.62
2022-03-31,1239.08
2022-04-01,1163.00
2022-04-02,1208.92
2022-04-03,1138.08
2022-04-04,1217.31
2022-04-05,1182.31
2022-04-06,1138.54
2022-04-07,1173.15
2022-04-08,1127.00
2022-04-09,1096.31
2022-04-10,1112.54
2022-04-11,1182.85
2022-04-12,709.92
2022-04-13,936.92
2022-04-14,930.08
2022-04-15,719.77
2022-04-16,954.08
2022-04-17,1215.54
2022-04-18,1324.85
2022-04-19,1400.77
2022-04-20,1262.15
2022-04-21,1317.23
2022-04-22,953.77
2022-04-23,1179.69
2022-04-24,1270.92
2022-04-25,838.00
2022-04-26,472.38
2022-04-27,1308.15
2022-04-28,1079.64
2022-04-29,514.15
2022-04-30,1305.08
2022-05-01,1270.08
2022-05-02,868.14
2022-05-03,1083.79
2022-05-04,1174.14
2022-05-05,1141.38
2022-05-06,867.15
2022-05-07,920.00
2022-05-08,1171.00
2022-05-09,1423.85
2022-05-10,680.73
2022-05-11,1273.14
2022-05-12,1235.80
2022-05-13,1246.67
2022-05-14,1379.93
2022-05-15,1341.50
2022-05-16,1237.67
2022-05-17,1128.00
2022-05-18,1142.47
2022-05-19,931.40
2022-05-20,1201.80
2022-05-21,1217.07
2022-05-22,1253.20
2022-05-23,1257.86
2022-05-24,1126.50
2022-05-25,1205.71
2022-05-26,1055.79
2022-05-27,1090.27
2022-05-28,1083.40
2022-05-29,1147.93
2022-05-30,1174.87
2022-05-31,1074.13
2022-06-01,1220.07
2022-06-02,1148.00
2022-06-03,1186.13
2022-06-04,1137.67
2022-06-05,1115.20
2022-06-06,1135.00
2022-06-07,1140.13
2022-06-08,1146.47
2022-06-09,1133.53
2022-06-10,1150.47
2022-06-11,1226.07
2022-06-12,1234.13
2022-06-13,1182.13
2022-06-14,1173.93
2022-06-15,1144.13
2022-06-16,1174.47
2022-06-17,1267.27
2022-06-18,1223.20
2022-06-19,1228.64
2022-06-20,1136.00
2022-06-21,1122.00
2022-06-22,1156.73
2022-06-23,1096.67
2022-06-24,1152.64
2022-06-25,1088.53
2022-06-26,1136.36
2022-06-27,1278.79
2022-06-28,1210.40
2022-06-29,1162.20
2022-06-30,1238.14
2022-07-01,1252.14
2022-07-02,1243.21
2022-07-03,1159.93
2022-07-04,1071.73
2022-07-05,1058.93
2022-07-06,999.20
2022-07-07,859.71
2022-07-08,999.14
2022-07-09,958.79
2022-07-10,1031.07
2022-07-11,1013.64
2022-07-12,901.43
2022-07-13,981.00
2022-07-14,1097.79
2022-07-15,1130.86
