date,value
2022-01-31,79.75
2022-02-01,211.1
2022-02-02,195.53
2022-02-03,51.82
2022-02-04,83.44
2022-02-05,367.09
2022-02-06,247.78
2022-02-07,322.09
2022-02-08,434.85
2022-02-09,221.3
2022-02-10,147.71
2022-02-11,256.76
2022-02-12,509.45
2022-02-13,449.09
2022-02-14,206.8
2022-02-15,74.26
2022-02-16,61.94
2022-02-17,249.51
2022-02-18,166.39
2022-02-20,274.6
2022-02-21,526.21
2022-02-22,306.91
2022-02-23,141.77
2022-02-24,8.34
2022-02-25,44.67
2022-02-26,67.9
2022-02-27,214.88
2022-02-28,139.71
2022-03-01,112.99
2022-03-02,74.4
2022-03-03,106.46
2022-03-04,219.84
2022-03-05,133.88
2022-03-06,33.52
2022-03-07,135.97
2022-03-08,103.15
2022-03-09,33.03
2022-03-10,283.79
2022-03-11,578.26
2022-03-12,231.52
2022-03-13,130.16
2022-03-14,54.4
2022-03-15,142.98
2022-03-16,1006.78
2022-03-17,1114.44
2022-03-18,352.11
2022-03-19,200.52
2022-03-20,147.72
2022-03-21,98.71
2022-03-22,89.85
2022-03-23,164.16
2022-03-24,83.12
2022-03-25,734.4
2022-03-26,896.65
2022-03-27,959.58
2022-03-28,1022.26
2022-03-29,744.87
2022-03-30,419.75
2022-03-31,110.36
2022-04-01,96.64
2022-04-02,245.61
2022-04-03,246.41
2022-04-04,151.15
2022-04-05,100.48
2022-04-06,50.78
2022-04-07,140.03
2022-04-08,157.75
2022-04-09,84.18
2022-04-10,204.82
2022-04-11,169.49
2022-04-12,57.4
2022-04-13,165.19
2022-04-14,248.06
2022-04-15,185.73
2022-04-16,228.78
2022-04-17,423.75
2022-04-18,269.34
2022-04-19,89.74
2022-04-20,90.59
2022-04-21,86.39
2022-04-22,142.17
2022-04-23,137.12
2022-04-24,128.83
2022-04-25,449.21
2022-04-26,164.04
2022-04-27,65.55
2022-04-28,167.75
2022-04-29,596.84
2022-04-30,58.98
2022-05-01,103.02
2022-05-02,279.64
2022-05-03,443.67
2022-05-04,152.57
2022-05-05,302.57
2022-05-06,489.61
2022-05-07,544.88
2022-05-08,976.54
2022-05-09,778.98
2022-05-10,432.32
2022-05-11,354.81
2022-05-12,785.19
2022-05-13,1065.54
2022-05-14,1257.07
2022-05-15,607.19
2022-05-16,70.43
2022-05-17,769.99
2022-05-18,849.82
2022-05-19,600.55
2022-05-20,650.91
2022-05-21,774.37
2022-05-22,1160.73
2022-05-23,377.27
2022-05-24,1085.49
2022-05-25,870.66
2022-05-26,566.12
2022-05-27,430.78
2022-05-28,350.99
2022-05-29,363.71
2022-05-30,305.72
2022-05-31,349.77
2022-06-01,72.35
2022-06-02,51.75
2022-06-03,67.71
2022-06-04,90.72
2022-06-05,26.73
2022-06-06,39.32
2022-06-07,88.31
2022-06-08,60.22
2022-06-09,194.73
2022-06-10,694.92
2022-06-11,1199.58
2022-06-12,632.61
2022-06-13,68.23
2022-06-14,153.75
2022-06-15,60.67
2022-06-16,609.71
2022-06-17,835.29
2022-06-18,135.99
2022-06-19,84.07
2022-06-20,42.22
2022-06-21,129.6
2022-06-22,121.6
2022-06-23,88.83
2022-06-24,41.42
2022-06-25,114.72
2022-06-26,530.49
2022-06-27,1196.78
2022-06-28,671.22
2022-06-29,453.76
2022-06-30,358.87
2022-07-01,599.59
2022-07-02,727.65
2022-07-03,776.02
2022-07-04,207.59
2022-07-05,128.18
2022-07-06,181.78
2022-07-07,53.76
2022-07-08,14.89
2022-07-09,42.36
2022-07-10,204.29
2022-07-11,108.17
2022-07-12,106.06
2022-07-13,123.95
2022-07-14,79.56
2022-07-15,115.06
2022-07-16,126.27
2022-07-17,41.76
2022-07-18,83.39
2022-07-19,107.59
2022-07-20,60.62
2022-07-21,136.76
2022-07-22,93.06
2022-07-23,42.23
2022-07-24,176.04
2022-07-25,147.53
2022-07-26,160.71
2022-07-27,163.65
2022-07-28,228.25
2022-07-29,214.01
2022-07-30,202.28
2022-07-31,213.63
2022-08-01,233.16
2022-08-02,171.3
2022-08-03,45.69
2022-08-04,136.98
2022-08-05,111.42
2022-08-06,152.5
2022-08-07,233.52
2022-08-08,159.16
2022-08-09,85.82
2022-08-10,122.36
2022-08-11,142.32
2022-08-12,96.41
2022-08-13,113.59
2022-08-14,56.12
2022-08-15,121.06
2022-08-16,80.5
2022-08-17,123.9
2022-08-18,101.06
2022-08-19,89.85
2022-08-20,60.82
2022-08-21,57.25
2022-08-22,61.34
2022-08-23,378.41
2022-08-24,378.35
2022-08-25,107.45
2022-08-26,108.93
2022-08-27,73.43
2022-08-28,45.08
2022-08-29,92.6
2022-08-30,92.93
2022-08-31,44.33
2022-09-01,36.46
2022-09-02,8.94
2022-09-03,16.21
2022-09-04,80.88
2022-09-05,65.84
2022-09-06,144.17
2022-09-07,198.7
2022-09-08,96.63
2022-09-09,50.58
2022-09-10,28.18
2022-09-11,38.68
2022-09-12,169.11
